                          RANK  COUNT  ZIPF FREQUENCY
fuß                        280     10            2800
jeder                      281     10            2810
hut                        282     10            2820
erkennen                   283     10            2830
stehen                     284     10            2840
ihrem                      285     10            2850
treppe                     286     10            2860
bemerkte                   287     10            2870
fest                       288     10            2880
soll                       289     10            2890
zweifel                    290     10            2900
charpentier                291     10            2910
rasch                      292      9            2628
nächsten                   293      9            2637
einander                   294      9            2646
unsere                     295      9            2655
dir                        296      9            2664
heute                      297      9            2673
thut                       298      9            2682
nein                       299      9            2691
meines                     300      9            2700
hast                       301      9            2709
recht                      302      9            2718
thür                       303      9            2727
dazu                       304      9            2736
blut                       305      9            2745
gemacht                    306      9            2754
gegangen                   307      9            2763
ab                         308      9            2772
plötzlich                  309      9            2781
beide                      310      9            2790
stelle                     311      9            2799
abend                      312      9            2808
stadt                      313      9            2817
einzelheiten               314      9            2826
mädchen                    315      9            2835
gesehen                    316      9            2844
geworden                   317      9            2853
stimme                     318      9            2862
zwischen                   319      9            2871
mannes                     320      9            2880
trug                       321      9            2889
natürlich                  322      9            2898
mörder                     323      9            2907
miene                      324      9            2916
gehört                     325      9            2925
tochter                    326      9            2934
mutter                     327      9            2943
wanderer                   328      9            2952
neue                       329      8            2632
welchem                    330      8            2640
solcher                    331      8            2648
endlich                    332      8            2656
watson                     333      8            2664
verwundert                 334      8            2672
diesen                     335      8            2680
leicht                     336      8            2688
möchte                     337      8            2696
bitte                      338      8            2704
heraus                     339      8            2712
langen                     340      8            2720
führte                     341      8            2728
beim                       342      8            2736
unserer                    343      8            2744
doktor                     344      8            2752
weil                       345      8            2760
zog                        346      8            2768
sprach                     347      8            2776
erschien                   348      8            2784
frage                      349      8            2792
meist                      350      8            2800
darüber                    351      8            2808
legte                      352      8            2816
wären                      353      8            2824
warten                     354      8            2832
tagen                      355      8            2840
ganzen                     356      8            2848
sicher                     357      8            2856
groß                       358      8            2864
außer                      359      8            2872
gelegenheit                360      8            2880
unterschied                361      8            2888
denken                     362      8            2896
herren                     363      8            2904
kamen                      364      8            2912
vier                       365      8            2920
mitten                     366      8            2928
lippen                     367      8            2936
frau                       368      8            2944
länger                     369      8            2952
seit                       370      8            2960
wand                       371      8            2968
rance                      372      8            2976
polizei                    373      8            2984
wenig                      374      8            2992
drebbers                   375      8            3000
sohn                       376      8            3008
vater                      377      8            3016
ward                       378      7            2646
bereits                    379      7            2653
sicherlich                 380      7            2660
macht                      381      7            2667
wohnung                    382      7            2674
mancher                    383      7            2681
kenntnisse                 384      7            2688
könnte                     385      7            2695
weder                      386      7            2702
fast                       387      7            2709
ebenso                     388      7            2716
gern                       389      7            2723
ergriff                    390      7            2730
sobald                     391      7            2737
gegenüber                  392      7            2744
glück                      393      7            2751
platz                      394      7            2758
auge                       395      7            2765
oft                        396      7            2772
gebracht                   397      7            2779
fenster                    398      7            2786
schienen                   399      7            2793
ausdruck                   400      7            2800
sechs                      401      7            2807
weise                      402      7            2814
grund                      403      7            2821
unser                      404      7            2828
lächelnd                   405      7            2835
schnell                    406      7            2842
giebt                      407      7            2849
deren                      408      7            2856
glauben                    409      7            2863
warf                       410      7            2870
diesem                     411      7            2877
geblieben                  412      7            2884
jeden                      413      7            2891
deutlich                   414      7            2898
verbrechen                 415      7            2905
detektiv                   416      7            2912
natur                      417      7            2919
unten                      418      7            2926
antwort                    419      7            2933
jahren                     420      7            2940
nacht                      421      7            2947
gekommen                   422      7            2954
grauen                     423      7            2961
still                      424      7            2968
konnten                    425      7            2975
dessen                     426      7            2982
leiche                     427      7            2989
schutzmann                 428      7            2996
warum                      429      7            3003
sondern                    430      7            3010
neuen                      431      7            3017
wagen                      432      7            3024
euch                       433      7            3031
schulter                   434      7            3038
pillen                     435      7            3045
jahre                      436      6            2616
bevor                      437      6            2622
folgte                     438      6            2628
brachte                    439      6            2634
luft                       440      6            2640
zuerst                     441      6            2646
land                       442      6            2652
müsse                      443      6            2658
beschäftigt                444      6            2664
besonders                  445      6            2670
welt                       446      6            2676
geschehen                  447      6            2682
hörte                      448      6            2688
erste                      449      6            2694
morgen                     450      6            2700
