              RANK  COUNT  ZIPF FREQUENCY
TCHZG          279      4            1116
SO2            280      4            1120
DCO8G          281      4            1124
8CCG           282      4            1128
4O8            283      4            1132
OE8AR          284      4            1136
THZ            285      4            1140
AN             286      4            1144
4ODCC8G        287      4            1148
4OHC8G         288      4            1152
HTC8G          289      4            1156
GDC8G          290      4            1160
T8AE           291      4            1164
4ODT8G         292      4            1168
GDAE           293      3             879
ORG            294      3             882
FZOE           295      3             885
PZCG           296      3             888
SOSG           297      3             891
TO8AN          298      3             894
SDZCG          299      3             897
GTO            300      3             900
ODAIIR         301      3             903
FAR            302      3             906
GHCCG          303      3             909
TO8AR          304      3             912
TODAM          305      3             915
8AEOR          306      3             918
2TCG           307      3             921
OHZG           308      3             924
ODOK           309      3             927
4O8AR          310      3             930
DTCOE          311      3             933
CCOR           312      3             936
OHTAK          313      3             939
ODARG          314      3             942
TDG            315      3             945
SAN            316      3             948
O8AE           317      3             951
OETCG          318      3             954
4ODSG          319      3             957
4OHZG          320      3             960
SODTG          321      3             963
TODCO8G        322      3             966
DCG            323      3             969
HSG            324      3             972
SCOR           325      3             975
ODOM           326      3             978
DZAK           327      3             981
GSO            328      3             984
OCC2           329      3             987
HTO8G          330      3             990
EOR            331      3             993
4ODAK          332      3             996
TODZG          333      3             999
2AN            334      3            1002
TC2            335      3            1005
DCOR           336      3            1008
DTO8           337      3            1011
4OPTG          338      3            1014
8ORAM          339      3            1017
HCG            340      3            1020
TOHOE          341      3            1023
DAK            342      3            1026
2TOE           343      3            1029
4O8G           344      3            1032
ODTOE          345      3            1035
PTG            346      3            1038
ROE            347      3            1041
TOEG           348      3            1044
GHCG           349      3            1047
HOAR           350      3            1050
PTOHZG         351      3            1053
GHOM           352      3            1056
PAM            353      3            1059
SHZCG          354      3            1062
GDTOR          355      3            1065
OE8G           356      3            1068
TO8AE          357      3            1071
GHAE           358      3            1074
ODZG           359      3            1077
DOM            360      3            1080
L              361      3            1083
HZOEG          362      3            1086
TDZCG          363      3            1089
OHO8G          364      3            1092
T2             365      3            1095
8GDG           366      3            1098
TDTG           367      3            1101
8O8G           368      3            1104
HSO            369      3            1107
DCCOR          370      3            1110
GTCOE          371      3            1113
OEOR           372      3            1116
HZCCG          373      3            1119
GDTOE          374      3            1122
GDTO           375      3            1125
OK             376      3            1128
GHAR           377      3            1131
HTCO           378      3            1134
SO2AM          379      3            1137
4OPG           380      3            1140
HZAN           381      3            1143
4ODOM          382      3            1146
HTO            383      3            1149
THOE           384      3            1152
OE8AK          385      3            1155
GHTOE          386      3            1158
E              387      3            1161
DSOE           388      3            1164
4OHAR          389      3            1167
A              390      3            1170
RTCG           391      3            1173
HZC8G          392      3            1176
GDCC8G         393      3            1179
TCDAM          394      3            1182
PTC8G          395      3            1185
AIIR           396      3            1188
TCO8           397      3            1191
TDOE           398      3            1194
4ODCC2         399      3            1197
E8G            400      3            1200
SCC8G          401      3            1203
ARAM           402      3            1206
ORAN           403      3            1209
DCC8G          404      3            1212
IIR            405      3            1215
4ODAE          406      3            1218
DAN            407      3            1221
ODAIR          408      3            1224
DAIR           409      2             818
ODAL           410      2             820
FZAM           411      2             822
PZOG           412      2             824
DO2            413      2             826
OE2            414      2             828
GHAN           415      2             830
SOG            416      2             832
DO8            417      2             834
PSOE           418      2             836
GHO            419      2             838
HZOE2          420      2             840
SOD            421      2             842
SOAM           422      2             844
0TOE           423      2             846
8TCO           424      2             848
TOD            425      2             850
TOHCG          426      2             852
OTG            427      2             854
TODO8G         428      2             856
HO8G           429      2             858
DCTG           430      2             860
TOHTCG         431      2             862
GPTOE          432      2             864
OHTAE          433      2             866
G8G            434      2             868
GHOE8G         435      2             870
2O             436      2             872
AL             437      2             874
TCHG           438      2             876
2AE            439      2             878
DOOM           440      2             880
O8AN           441      2             882
ESG            442      2             884
TR             443      2             886
TCAM           444      2             888
SOK            445      2             890
8AKO           446      2             892
OHTO8G         447      2             894
G8AR           448      2             896
4OHSCG         449      2             898
4ODO8G         450      2             900
ODCOK          451      2             902
2AK            452      2             904
4OPTOR         453      2             906
4OCOR          454      2             908
4OHCCOE        455      2             910
OS             456      2             912
SDAM           457      2             914
4OHCG          458      2             916
HG8G           459      2             918
PZOE8G         460      2             920
DORAM          461      2             922
PZAM           462      2             924
4OHTOM         463      2             926
TAPTG          464      2             928
TOHCOE         465      2             930
TOAM           466      2             932
OHOM           467      2             934
GHTOG          468      2             936
HORTG          469      2             938
HZORG          470      2             940
ODCO8G         471      2             942
DSO8G          472      2             944
OTCG           473      2             946
SCO8G          474      2             948
4OHOCCG        475      2             950
O              476      2             952
GHTCG          477      2             954
SCC2           478      2             956
OHOF           479      2             958
GDOM           480      2             960
TCOHOE         481      2             962
FOAR           482      2             964
TOEOR          483      2             966
TDZ            484      2             968
GDCOR          485      2             970
O8AK           486      2             972
