              RANK  COUNT  ZIPF FREQUENCY
GDCCGDG       1152      1            1152
OCCCL         1153      1            1153
GDCO8G        1154      1            1154
P8GTOM        1155      1            1155
GFO8AN        1156      1            1156
OHGSG         1157      1            1157
GPTOR         1158      1            1158
GHGTG         1159      1            1159
8ARO8G        1160      1            1160
8GOHG82       1161      1            1161
8G8G8G        1162      1            1162
8TG8          1163      1            1163
OGDSG         1164      1            1164
8G8GO8G8      1165      1            1165
TODSOR        1166      1            1166
ODSO8G        1167      1            1167
8OE8AIR       1168      1            1168
8GDTG         1169      1            1169
HZOE8K        1170      1            1170
HSOR          1171      1            1171
HTAEG         1172      1            1172
THOE2         1173      1            1173
DOEG          1174      1            1174
RSOR          1175      1            1175
DO            1176      1            1176
SODCOHZG      1177      1            1177
OHZAN         1178      1            1178
HZE2G         1179      1            1179
2AIM          1180      1            1180
T82           1181      1            1181
TORO22        1182      1            1182
HTCOR         1183      1            1183
GDSOE         1184      1            1184
2DG           1185      1            1185
POROR         1186      1            1186
ORSG          1187      1            1187
8HTAL         1188      1            1188
0TOR          1189      1            1189
0AN           1190      1            1190
OHTOEO        1191      1            1191
DAL           1192      1            1192
2OEOM         1193      1            1193
POTCO8G       1194      1            1194
2GDAM         1195      1            1195
OROK          1196      1            1196
GTGDTG        1197      1            1197
OH4G          1198      1            1198
OCC2OR8G      1199      1            1199
G8OR          1200      1            1200
SCAE          1201      1            1201
GDAIR         1202      1            1202
8ANO8         1203      1            1203
GTCAEO8       1204      1            1204
GDT           1205      1            1205
HGDG          1206      1            1206
OSAM          1207      1            1207
8CCCO         1208      1            1208
8HOAM         1209      1            1209
8AETG         1210      1            1210
8OAE          1211      1            1211
HOROR         1212      1            1212
8AEG8AE       1213      1            1213
GPTOFZG       1214      1            1214
2ODTG         1215      1            1215
8GTO          1216      1            1216
SHSG          1217      1            1217
HTODG8        1218      1            1218
8E            1219      1            1219
PTRAM         1220      1            1220
TPTOE         1221      1            1221
TPTCG         1222      1            1222
2PTOHZG       1223      1            1223
DOSCH         1224      1            1224
THZO8G        1225      1            1225
PZO8          1226      1            1226
8AIRIL        1227      1            1227
TGPTG         1228      1            1228
SOEO          1229      1            1229
TG8G          1230      1            1230
ODGHAM        1231      1            1231
2ODAR         1232      1            1232
OAORAR        1233      1            1233
FSO8G         1234      1            1234
GPO8          1235      1            1235
TOP           1236      1            1236
OE8DZG        1237      1            1237
G8AIR         1238      1            1238
TODODG        1239      1            1239
DZO8G         1240      1            1240
4O8HZG        1241      1            1241
O82           1242      1            1242
4O8AK         1243      1            1243
HTO0          1244      1            1244
OPG8K         1245      1            1245
2OK           1246      1            1246
GPAIK         1247      1            1247
PZAE8G        1248      1            1248
4OFTO         1249      1            1249
4ODTCOR       1250      1            1250
TCDCK         1251      1            1251
TOE8SG        1252      1            1252
00PTG         1253      1            1253
8TTG          1254      1            1254
8GTCAR        1255      1            1255
2TAR          1256      1            1256
2OG           1257      1            1257
TDZO          1258      1            1258
TGPTAK        1259      1            1259
GKOE          1260      1            1260
TOHOK         1261      1            1261
PTO8OE        1262      1            1262
O8AE8G        1263      1            1263
OE8AIK        1264      1            1264
TODZOE        1265      1            1265
8OETCCG       1266      1            1266
OCDOR         1267      1            1267
POII2         1268      1            1268
DTA           1269      1            1269
OGHOR         1270      1            1270
4ODTCO        1271      1            1271
4ODOIIR       1272      1            1272
OG            1273      1            1273
DCAM          1274      1            1274
TDOR          1275      1            1275
ODCCOE        1276      1            1276
HTORG         1277      1            1277
ODTCOE        1278      1            1278
OHTCOEO       1279      1            1279
4OAN          1280      1            1280
4OPTAM        1281      1            1281
TCCOR         1282      1            1282
ORCCC2        1283      1            1283
TOETOK        1284      1            1284
OAE           1285      1            1285
SOEOR         1286      1            1286
SCHZG         1287      1            1287
PZCOR         1288      1            1288
4ODCCC        1289      1            1289
P8RAIR8G      1290      1            1290
8ARO8C        1291      1            1291
FGOAR         1292      1            1292
ODZOR         1293      1            1293
IM            1294      1            1294
TEOE          1295      1            1295
OSOR          1296      1            1296
8OE8AM        1297      1            1297
OEO8G         1298      1            1298
THZAE         1299      1            1299
ODSAE         1300      1            1300
TGDAE8        1301      1            1301
OEG8AM        1302      1            1302
2OHTAM        1303      1            1303
TORK          1304      1            1304
GTAIR         1305      1            1305
HOF8          1306      1            1306
OHT8AE        1307      1            1307
GH8K          1308      1            1308
4OCCC2        1309      1            1309
OROAM         1310      1            1310
2K            1311      1            1311
4ODAG         1312      1            1312
G8E           1313      1            1313
GTOCC2        1314      1            1314
4OE           1315      1            1315
4ODCCC2       1316      1            1316
HOEOE         1317      1            1317
8AROR         1318      1            1318
8ODG          1319      1            1319
GDA           1320      1            1320
8TG8G         1321      1            1321
TO0           1322      1            1322
O2TCOR        1323      1            1323
H8AM          1324      1            1324
4ODORAR       1325      1            1325
GSOR          1326      1            1326
OHGHTG        1327      1            1327
8ORE          1328      1            1328
4OEO8G        1329      1            1329
8AMOE         1330      1            1330
O2OHZOR       1331      1            1331
POTAM         1332      1            1332
TPTCO2        1333      1            1333
PGDTG         1334      1            1334
4ODTO2        1335      1            1335
8AROK         1336      1            1336
GHT           1337      1            1337
8OHG          1338      1            1338
GTOG          1339      1            1339
4ODT2         1340      1            1340
ODG88OR       1341      1            1341
GODTAL        1342      1            1342
ODTO8         1343      1            1343
GCC2          1344      1            1344
D8TO8G        1345      1            1345
TOTO8AM       1346      1            1346
4OTG          1347      1            1347
8ARAE         1348      1            1348
OEHCCG        1349      1            1349
OHAETCG       1350      1            1350
TODOAM        1351      1            1351
TCCCL         1352      1            1352
TOCC2         1353      1            1353
2TO8AN        1354      1            1354
FTO8CC2       1355      1            1355
4OPZG         1356      1            1356
TODOE8G       1357      1            1357
OTOAM         1358      1            1358
PTO8AM        1359      1            1359
TCHO8G        1360      1            1360
8TO8          1361      1            1361
4OHCCO8G      1362      1            1362
OTAM          1363      1            1363
FAII2         1364      1            1364
PO            1365      1            1365
FOTCG         1366      1            1366
FSO8TG        1367      1            1367
8OIM          1368      1            1368
TCODZG        1369      1            1369
SCOG          1370      1            1370
2OAM          1371      1            1371
TORAEG        1372      1            1372
82            1373      1            1373
80            1374      1            1374
SODAM         1375      1            1375
OCCODZG       1376      1            1376
OFGTCG        1377      1            1377
GPTCG         1378      1            1378
4OPTCO8G      1379      1            1379
OHCO2         1380      1            1380
PTOFG         1381      1            1381
OHOEOSCCG     1382      1            1382
4OHZCG        1383      1            1383
TO2G          1384      1            1384
4OHTCOE       1385      1            1385
ODCOAM        1386      1            1386
DOEGDG        1387      1            1387
4ODCAE        1388      1            1388
TOEOE         1389      1            1389
SOCOR         1390      1            1390
OPZAE         1391      1            1391
OPSCA2        1392      1            1392
HZO8AM        1393      1            1393
HSAM          1394      1            1394
HOHTG         1395      1            1395
OHGDG         1396      1            1396
GSCOE         1397      1            1397
HOE8SG        1398      1            1398
4OFSCG        1399      1            1399
SDZAE         1400      1            1400
DZOEG         1401      1            1401
OCCC2OG       1402      1            1402
4OHOF         1403      1            1403
DCCCC2        1404      1            1404
OSG           1405      1            1405
8AIHODG       1406      1            1406
TOHSOE        1407      1            1407
HO8AM         1408      1            1408
ETOE          1409      1            1409
DTOTAM        1410      1            1410
POEOESG       1411      1            1411
FTOEG         1412      1            1412
ODOEG         1413      1            1413
OPTG2         1414      1            1414
OPZG          1415      1            1415
OEOM          1416      1            1416
8GDAM         1417      1            1417
HZOEO         1418      1            1418
PTAM          1419      1            1419
OE8OR         1420      1            1420
GTOE8TG       1421      1            1421
GTODSTG       1422      1            1422
HZCCL         1423      1            1423
SDA           1424      1            1424
T8OEG         1425      1            1425
PZAE          1426      1            1426
8O0M          1427      1            1427
HZCOR         1428      1            1428
ORAMG         1429      1            1429
GDZO8G        1430      1            1430
8ATG          1431      1            1431
O8TAM         1432      1            1432
8G8AN         1433      1            1433
4ODZG         1434      1            1434
PG2AMOR       1435      1            1435
OFTAR         1436      1            1436
OHTG8         1437      1            1437
DTORE         1438      1            1438
GDTCOR        1439      1            1439
FSOR          1440      1            1440
ODSOR         1441      1            1441
HCCOE         1442      1            1442
ORGHAE        1443      1            1443
2ODAM         1444      1            1444
GTDG          1445      1            1445
ODTAN         1446      1            1446
SOHOEG        1447      1            1447
OESEG         1448      1            1448
8ORG          1449      1            1449
8AE8AEOE      1450      1            1450
PG8T8OK       1451      1            1451
OPGAM         1452      1            1452
0GFTG         1453      1            1453
TD            1454      1            1454
EOETOR        1455      1            1455
8ANK          1456      1            1456
GDAIIEK       1457      1            1457
OFTOE         1458      1            1458
GFTOR         1459      1            1459
OEFTOR        1460      1            1460
OHTAE8        1461      1            1461
8AN8AE        1462      1            1462
OETAR         1463      1            1463
8AIRO         1464      1            1464
4ODCCC2G      1465      1            1465
4GD           1466      1            1466
GHCAN         1467      1            1467
GDAN          1468      1            1468
GDGDA         1469      1            1469
8AEORG        1470      1            1470
PO8AIROE      1471      1            1471
O8AMEG        1472      1            1472
OPTOEOHOE     1473      1            1473
4OHCO         1474      1            1474
ODTAF8G       1475      1            1475
CCC2          1476      1            1476
ODCCOR        1477      1            1477
4OHTOE8       1478      1            1478
SOEOE         1479      1            1479
OE8AE         1480      1            1480
OAE8ARG       1481      1            1481
SDSG          1482      1            1482
OHSOR         1483      1            1483
OE2AR         1484      1            1484
GEG           1485      1            1485
8ORTG         1486      1            1486
HZO0          1487      1            1487
OEOIIR        1488      1            1488
GODAM         1489      1            1489
OEOE2         1490      1            1490
TCCL          1491      1            1491
OFANO2        1492      1            1492
OEORO         1493      1            1493
CCCOEG        1494      1            1494
PORORG        1495      1            1495
OPTAR         1496      1            1496
ODAIDZAE      1497      1            1497
GHZAR         1498      1            1498
TDZAEG        1499      1            1499
HZGDCOK       1500      1            1500
CHCOR         1501      1            1501
4CDAR         1502      1            1502
THAR          1503      1            1503
4O8OE         1504      1            1504
4OCAR         1505      1            1505
4ODCOE        1506      1            1506
4O8AIDZG      1507      1            1507
4EOR          1508      1            1508
TCOICC2       1509      1            1509
ODCCR         1510      1            1510
HO8           1511      1            1511
ODZOC2        1512      1            1512
2SCG          1513      1            1513
OHAPZG        1514      1            1514
TOREG         1515      1            1515
TOFZG         1516      1            1516
OPOK          1517      1            1517
OPSO8G        1518      1            1518
OPZO          1519      1            1519
ODO0AK        1520      1            1520
G8AE2         1521      1            1521
OHTO2         1522      1            1522
OHZOE         1523      1            1523
O8TCC2        1524      1            1524
O2CARIC2      1525      1            1525
8EO2          1526      1            1526
OCOR          1527      1            1527
HTAR          1528      1            1528
HOTOE         1529      1            1529
FZARAR        1530      1            1530
8AI8          1531      1            1531
OEOK          1532      1            1532
DOTDG         1533      1            1533
TOROK         1534      1            1534
ODOCO2        1535      1            1535
DZCO8         1536      1            1536
4O8OK         1537      1            1537
ODO8AM        1538      1            1538
4ODT          1539      1            1539
ODODTAE       1540      1            1540
OCCCG         1541      1            1541
O8OR          1542      1            1542
OHOEO8AE      1543      1            1543
TCCD8AK       1544      1            1544
OT8G          1545      1            1545
O8AIIK        1546      1            1546
OTOE8G        1547      1            1547
TRDG          1548      1            1548
SAIR          1549      1            1549
TCC2CC2       1550      1            1550
SCCAR         1551      1            1551
N             1552      1            1552
4OHTAN        1553      1            1553
8TAN          1554      1            1554
OHO2G         1555      1            1555
POCCAM        1556      1            1556
4OFTOR        1557      1            1557
ODCCAM        1558      1            1558
ORTO          1559      1            1559
SDZOR         1560      1            1560
8ANHG         1561      1            1561
DZCAR         1562      1            1562
TDCAR         1563      1            1563
TODCCG        1564      1            1564
ROTG          1565      1            1565
4ODORAE       1566      1            1566
8CCAIIR       1567      1            1567
TDCG          1568      1            1568
8ANOE         1569      1            1569
ORTAM         1570      1            1570
PSCODG        1571      1            1571
OF2CO8        1572      1            1572
TGPTCG        1573      1            1573
TOFO          1574      1            1574
TPZ8G         1575      1            1575
A8CCO8G       1576      1            1576
GDCHZCG       1577      1            1577
TCHZC8G       1578      1            1578
OEOG          1579      1            1579
OETC8G        1580      1            1580
RTC8G         1581      1            1581
GPT2C82       1582      1            1582
SAPTC8G       1583      1            1583
4OHCC8AR      1584      1            1584
OD            1585      1            1585
4ODOC8G       1586      1            1586
8CC8G         1587      1            1587
GDCCTG        1588      1            1588
SC2C          1589      1            1589
OHAE-         1590      1            1590
4O8ARG        1591      1            1591
80RN          1592      1            1592
PTCCHG        1593      1            1593
2ARAIIR       1594      1            1594
HZ8G          1595      1            1595
ARCC          1596      1            1596
AEG2          1597      1            1597
OPAR          1598      1            1598
OFT8G         1599      1            1599
ODT8GK        1600      1            1600
GDZCO8G       1601      1            1601
2AE8G         1602      1            1602
ODC8OR        1603      1            1603
ODCA          1604      1            1604
8CCOE         1605      1            1605
HOCC8G        1606      1            1606
2TC2          1607      1            1607
T0DG          1608      1            1608
GHT8G         1609      1            1609
TCOCH         1610      1            1610
O8AIM         1611      1            1611
TDCCCG        1612      1            1612
ODCCO2TCCO2   1613      1            1613
G2AM          1614      1            1614
TCCO2         1615      1            1615
4ODC2         1616      1            1616
GSCCG         1617      1            1617
ODCSG         1618      1            1618
PSCG          1619      1            1619
HO8G8G        1620      1            1620
D2OR          1621      1            1621
SOHCO         1622      1            1622
TFO           1623      1            1623
SODG8         1624      1            1624
HZCG82        1625      1            1625
PZARG         1626      1            1626
HTOE2         1627      1            1627
DTAE8G        1628      1            1628
EG            1629      1            1629
TAE2          1630      1            1630
DCCO8         1631      1            1631
SC2           1632      1            1632
TCODCCG       1633      1            1633
OHTO8CCG      1634      1            1634
FOTOF         1635      1            1635
TOF           1636      1            1636
TOSO          1637      1            1637
2OEG          1638      1            1638
OPTORG        1639      1            1639
8AI8G         1640      1            1640
8TIR          1641      1            1641
HZCCO8G       1642      1            1642
SE8           1643      1            1643
DT08          1644      1            1644
8OTCC2K       1645      1            1645
SDCCO         1646      1            1646
RTO8          1647      1            1647
SDOF          1648      1            1648
DTRRR         1649      1            1649
8TRTG         1650      1            1650
2OHT8G        1651      1            1651
8T8           1652      1            1652
TRTRA         1653      1            1653
ODSC2         1654      1            1654
PTO8AR        1655      1            1655
TOPZG         1656      1            1656
TG4OE8G       1657      1            1657
TADO8         1658      1            1658
8EG           1659      1            1659
OHTOETG       1660      1            1660
SODZG         1661      1            1661
O2TOHSE       1662      1            1662
8CAM          1663      1            1663
4OOIM         1664      1            1664
PTOIM         1665      1            1665
SCPTG         1666      1            1666
GDTOEG        1667      1            1667
4ODTO8G       1668      1            1668
TCORA         1669      1            1669
HSOM          1670      1            1670
OTHG          1671      1            1671
PTOE          1672      1            1672
HCO           1673      1            1673
THSG          1674      1            1674
GD            1675      1            1675
SOEG          1676      1            1676
PORAM         1677      1            1677
TCP           1678      1            1678
TCCHZG        1679      1            1679
TTOHG         1680      1            1680
HCCG          1681      1            1681
A0            1682      1            1682
TODSG         1683      1            1683
4ODAIM        1684      1            1684
DO8G          1685      1            1685
4ODSC         1686      1            1686
GTOK          1687      1            1687
OEAE2         1688      1            1688
HZGSG         1689      1            1689
HZOE8         1690      1            1690
OEHTG         1691      1            1691
OH            1692      1            1692
HOTOL         1693      1            1693
TSG           1694      1            1694
TODOR         1695      1            1695
HZTG8         1696      1            1696
TGDAR         1697      1            1697
THCOR         1698      1            1698
TGH           1699      1            1699
4CDCOTOR      1700      1            1700
ODTC2G        1701      1            1701
FTCO8G        1702      1            1702
TCR           1703      1            1703
TC            1704      1            1704
DCCO8OE       1705      1            1705
TORAN         1706      1            1706
DC            1707      1            1707
IK            1708      1            1708
4ODO          1709      1            1709
4OPTAR        1710      1            1710
2ON           1711      1            1711
TODO          1712      1            1712
4ODOTG        1713      1            1713
8CCCG         1714      1            1714
8DCCOR        1715      1            1715
TCOE8AN       1716      1            1716
8TOROE        1717      1            1717
RO            1718      1            1718
T2CCOR8G      1719      1            1719
HZORTG        1720      1            1720
TC2CG         1721      1            1721
2TCO          1722      1            1722
4OTAR         1723      1            1723
DCCAM         1724      1            1724
THZCG         1725      1            1725
TODTAM        1726      1            1726
TDTCAL        1727      1            1727
THZO          1728      1            1728
RTO8G         1729      1            1729
G8CG          1730      1            1730
TDCAM         1731      1            1731
GT8A          1732      1            1732
THTCG         1733      1            1733
HZ2HZAN       1734      1            1734
TCPTG         1735      1            1735
HZOE8G        1736      1            1736
TOHTOE        1737      1            1737
TODCOR        1738      1            1738
THOHZG        1739      1            1739
8AIL          1740      1            1740
TCOF8G        1741      1            1741
4ODCCOR       1742      1            1742
TODOE         1743      1            1743
8AIRG         1744      1            1744
OGSG          1745      1            1745
PZOAM         1746      1            1746
SCOE8G        1747      1            1747
OHTCOR        1748      1            1748
TODTCCG       1749      1            1749
DCC8CG        1750      1            1750
SCC           1751      1            1751
4ODCCFT       1752      1            1752
TCPA          1753      1            1753
DCO           1754      1            1754
000N          1755      1            1755
4CF           1756      1            1756
RAIR          1757      1            1757
E4OHAR        1758      1            1758
8IR           1759      1            1759
ED            1760      1            1760
SCOO8G        1761      1            1761
4ODCOR        1762      1            1762
HSOHCO8G      1763      1            1763
TCPAR         1764      1            1764
TC8A          1765      1            1765
GDCC8AR       1766      1            1766
TCDZCG        1767      1            1767
4ODCO8G       1768      1            1768
SCCO          1769      1            1769
HOES2O        1770      1            1770
OESCOE        1771      1            1771
GTC2          1772      1            1772
TC8AM         1773      1            1773
OESCOR        1774      1            1774
2AIIR         1775      1            1775
GSC8AIR       1776      1            1776
ODC8A         1777      1            1777
OHCOR         1778      1            1778
AIIHZG        1779      1            1779
PO8AIR        1780      1            1780
OHCC8G        1781      1            1781
ARAR          1782      1            1782
8DARAR        1783      1            1783
AE2           1784      1            1784
GHTO2         1785      1            1785
AHZCG         1786      1            1786
ODCCO2        1787      1            1787
GDCCO         1788      1            1788
SC8AE         1789      1            1789
ODCC2O        1790      1            1790
TC8AR         1791      1            1791
ODC8          1792      1            1792
OHA           1793      1            1793
GHCO2         1794      1            1794
TCCOG         1795      1            1795
PTCCO8G       1796      1            1796
4OP           1797      1            1797
TC8AE         1798      1            1798
TCFZG         1799      1            1799
TCFTOE        1800      1            1800
TCCF          1801      1            1801
OPAE          1802      1            1802
OEHCC8AK      1803      1            1803
TCODAR        1804      1            1804
ARG           1805      1            1805
TCC           1806      1            1806
DSCCG         1807      1            1807
GTCD          1808      1            1808
ODCTO         1809      1            1809
GHCTCOE       1810      1            1810
SCOCDG        1811      1            1811
ODCO2         1812      1            1812
AHZC8G        1813      1            1813
TCHTCG        1814      1            1814
TOAR          1815      1            1815
OHZCG         1816      1            1816
ODCO          1817      1            1817
DZCO2         1818      1            1818
TCAK          1819      1            1819
FTAM          1820      1            1820
SGDCO8G       1821      1            1821
8ANO8G        1822      1            1822
8SO8AR        1823      1            1823
F             1824      1            1824
8TCO8AN       1825      1            1825
GHSO          1826      1            1826
TO88AE        1827      1            1827
HTCGTC8G      1828      1            1828
OE8AIR        1829      1            1829
4OAR          1830      1            1830
8GHTOR        1831      1            1831
2OHG          1832      1            1832
TODCOE        1833      1            1833
8TOHG         1834      1            1834
8TOE8A        1835      1            1835
DTCO8AM       1836      1            1836
8ANOAK        1837      1            1837
SODCG         1838      1            1838
DA            1839      1            1839
ORTR          1840      1            1840
RTG           1841      1            1841
8ORK          1842      1            1842
ODTAL         1843      1            1843
SAE           1844      1            1844
8THZG         1845      1            1845
OHSTOR        1846      1            1846
O8AL          1847      1            1847
2DCG          1848      1            1848
HS8AR         1849      1            1849
S8AR          1850      1            1850
SCPT8G        1851      1            1851
PZO8G         1852      1            1852
GFOE8G        1853      1            1853
4OFODZ8G      1854      1            1854
EFT8G         1855      1            1855
GHTC8G        1856      1            1856
4ODAE8G       1857      1            1857
OHAR8AK       1858      1            1858
TCT           1859      1            1859
TCDCC8G       1860      1            1860
AEAIM         1861      1            1861
TCC8G         1862      1            1862
PAIR          1863      1            1863
OEDOR         1864      1            1864
SCDAE         1865      1            1865
HTC8G8G       1866      1            1866
TCCDAM        1867      1            1867
8OER          1868      1            1868
C2            1869      1            1869
ODAR8G        1870      1            1870
DAK8G         1871      1            1871
HODAR         1872      1            1872
8O8E          1873      1            1873
HT8G          1874      1            1874
ARE           1875      1            1875
GTCO          1876      1            1876
HS8G          1877      1            1877
SCFT8G        1878      1            1878
SDZ8G         1879      1            1879
OEHC8G        1880      1            1880
T8GS8G        1881      1            1881
PORAR         1882      1            1882
8ARAR         1883      1            1883
SDAIR         1884      1            1884
ETOAR         1885      1            1885
EO8AM         1886      1            1886
OOR           1887      1            1887
HARAE         1888      1            1888
DCCGORAK      1889      1            1889
PTCOCPTG      1890      1            1890
OEARGE        1891      1            1891
GFO8G         1892      1            1892
ODC8O8G       1893      1            1893
OEAK          1894      1            1894
OHZC8C        1895      1            1895
OEHCG         1896      1            1896
T8AEG         1897      1            1897
GHC8C         1898      1            1898
OEHTC8G       1899      1            1899
ODC2          1900      1            1900
GDCC8ETC8G    1901      1            1901
TCHCG         1902      1            1902
OEE           1903      1            1903
TC2G          1904      1            1904
FT2           1905      1            1905
AKK           1906      1            1906
GDTC          1907      1            1907
OED           1908      1            1908
G2AIR         1909      1            1909
AIR           1910      1            1910
HAK           1911      1            1911
GDT8G         1912      1            1912
AIDZG         1913      1            1913
HO8AEG        1914      1            1914
OETDZG        1915      1            1915
TFAEA2        1916      1            1916
DAE8AM        1917      1            1917
HZ8AEG        1918      1            1918
ODORAR        1919      1            1919
GDCO          1920      1            1920
THZC8G        1921      1            1921
TOETC8G       1922      1            1922
GDTCOETHZG    1923      1            1923
TCFTG         1924      1            1924
4OPT8G        1925      1            1925
S8G8G         1926      1            1926
T8AET8G       1927      1            1927
THZ8G         1928      1            1928
2PAM          1929      1            1929
HAE           1930      1            1930
8GTC8G        1931      1            1931
EOCC2         1932      1            1932
OET8G         1933      1            1933
DC8AIM        1934      1            1934
ODT8G         1935      1            1935
8A2AK         1936      1            1936
HT8AM         1937      1            1937
TCDAE         1938      1            1938
4OE8AR        1939      1            1939
ESAIIR        1940      1            1940
TCTCG         1941      1            1941
8GDCG         1942      1            1942
TCDAEG        1943      1            1943
TOEDG         1944      1            1944
GPT8AM        1945      1            1945
ERAR          1946      1            1946
TC8AN         1947      1            1947
GSCO2         1948      1            1948
ESCO8G        1949      1            1949
DAE           1950      1            1950
S2            1951      1            1951
ADC8G         1952      1            1952
GSO2          1953      1            1953
HZOO          1954      1            1954
RTOEG         1955      1            1955
4ODCCAM       1956      1            1956
SCHTG         1957      1            1957
8ANE          1958      1            1958
2TCCG         1959      1            1959
2TAM          1960      1            1960
DGDAM         1961      1            1961
RTE           1962      1            1962
2TOTG         1963      1            1963
STCAM         1964      1            1964
ETAM          1965      1            1965
ETAE          1966      1            1966
DOE8G         1967      1            1967
TCHTAM        1968      1            1968
EO8AEG        1969      1            1969
2TM           1970      1            1970
PARTOR        1971      1            1971
ROAM          1972      1            1972
8TODTG        1973      1            1973
TDZOR         1974      1            1974
TDTCCCL       1975      1            1975
THZAM         1976      1            1976
8TOE8         1977      1            1977
TO2AR         1978      1            1978
4OHTCCAM      1979      1            1979
HTCAN         1980      1            1980
HT            1981      1            1981
TDAEG         1982      1            1982
4ODCCCL       1983      1            1983
TODCCA        1984      1            1984
2TODCG        1985      1            1985
GDCOE         1986      1            1986
PTAF8AL       1987      1            1987
4ORAN         1988      1            1988
TFZAE         1989      1            1989
ORAE          1990      1            1990
4OOE8G        1991      1            1991
8OE2AN        1992      1            1992
PO8AIIR       1993      1            1993
PZG4OGPTOE    1994      1            1994
FTOK          1995      1            1995
4ORTOE        1996      1            1996
TGHAROM       1997      1            1997
GHORORG       1998      1            1998
2OE8          1999      1            1999
G8            2000      1            2000
GHO8AEG       2001      1            2001
OHARO         2002      1            2002
PTARA2G       2003      1            2003
4OFOROK       2004      1            2004
8TGHTG        2005      1            2005
GHOR2         2006      1            2006
GDGHG         2007      1            2007
DZOM          2008      1            2008
PZTAR         2009      1            2009
8G2           2010      1            2010
GHG8G         2011      1            2011
GDTOE4O8      2012      1            2012
8AME8         2013      1            2013
OHGTHZG       2014      1            2014
GHORG8        2015      1            2015
THAN          2016      1            2016
HOPZOE        2017      1            2017
OFTOR         2018      1            2018
OHO8          2019      1            2019
4HO8G         2020      1            2020
4OSG          2021      1            2021
PTOHTG        2022      1            2022
OHOEG         2023      1            2023
4OHOK         2024      1            2024
TORO8G        2025      1            2025
GDTO8G        2026      1            2026
4OHOR8G       2027      1            2027
OHTOEOE       2028      1            2028
ODTOTOR       2029      1            2029
TG8AM         2030      1            2030
4OHOE8G       2031      1            2031
TOP8AN        2032      1            2032
O2TOTOR       2033      1            2033
4ODTOL        2034      1            2034
TOL           2035      1            2035
8GHORG        2036      1            2036
GDTOL         2037      1            2037
GODOR         2038      1            2038
HOK           2039      1            2039
TOROR         2040      1            2040
HZOE-8AM      2041      1            2041
SGEG          2042      1            2042
8OHO8G        2043      1            2043
2OHOIM        2044      1            2044
HO8AN         2045      1            2045
PZORO82       2046      1            2046
TCODG         2047      1            2047
IL            2048      1            2048
2ODTOR        2049      1            2049
4ODOIM        2050      1            2050
GDCCOE2       2051      1            2051
OGHCCG        2052      1            2052
4DAM          2053      1            2053
4OHAE         2054      1            2054
GTODZCG       2055      1            2055
OSHZO-8O      2056      1            2056
HOEOR         2057      1            2057
ODSOE         2058      1            2058
ODSCG         2059      1            2059
TO8G2         2060      1            2060
TODODOR       2061      1            2061
GTODTCG       2062      1            2062
TDA           2063      1            2063
RO8AM         2064      1            2064
DZOE8G        2065      1            2065
TOTOR         2066      1            2066
ODTOP         2067      1            2067
SOHOE         2068      1            2068
ODCAM         2069      1            2069
DCOR8AM       2070      1            2070
OHCCOE        2071      1            2071
DCCCG         2072      1            2072
4OETG         2073      1            2073
TSOE          2074      1            2074
HC8O          2075      1            2075
TS8           2076      1            2076
PZIOFG        2077      1            2077
FSG           2078      1            2078
TCCPAM        2079      1            2079
OFG           2080      1            2080
DAEG          2081      1            2081
SCDSCG        2082      1            2082
4OEAN         2083      1            2083
TDZSG         2084      1            2084
4ODAET8G      2085      1            2085
4ODCC8AR      2086      1            2086
SDZ8TG        2087      1            2087
OR8G          2088      1            2088
ODAETC        2089      1            2089
8T8G          2090      1            2090
PT8AM         2091      1            2091
SC8AK         2092      1            2092
OFTCDAM       2093      1            2093
SODZCG        2094      1            2094
S8AEO         2095      1            2095
8T8AR         2096      1            2096
CCC2AM        2097      1            2097
ETC8G         2098      1            2098
FTC8G         2099      1            2099
8AIROK        2100      1            2100
GDCOE2        2101      1            2101
4ODZ8G        2102      1            2102
SGDG          2103      1            2103
8S8G          2104      1            2104
4ODAE8AR      2105      1            2105
HOET8AM       2106      1            2106
TE2           2107      1            2107
TCDE          2108      1            2108
T8AK          2109      1            2109
4OEDAN        2110      1            2110
8E8           2111      1            2111
A8OR          2112      1            2112
OFTCC         2113      1            2113
TOEDAE        2114      1            2114
GD8G          2115      1            2115
P8AIR         2116      1            2116
F8GDAN        2117      1            2117
SGDAIM        2118      1            2118
AS8G          2119      1            2119
OEDC8AM       2120      1            2120
O8G8G         2121      1            2121
GHO8AM        2122      1            2122
GODCCG        2123      1            2123
SDG           2124      1            2124
TODZ          2125      1            2125
FZCG          2126      1            2126
PAR8G         2127      1            2127
ORAEG         2128      1            2128
OEANR         2129      1            2129
OCDAR         2130      1            2130
AE8           2131      1            2131
G8GK          2132      1            2132
FTOR          2133      1            2133
OETC          2134      1            2134
P             2135      1            2135
2AROE         2136      1            2136
SCDAK         2137      1            2137
OHAFTK        2138      1            2138
ODARAK        2139      1            2139
TCO8AE        2140      1            2140
ET8G          2141      1            2141
8AIMG         2142      1            2142
HARAM         2143      1            2143
DCO8AR        2144      1            2144
AE8G8G        2145      1            2145
OEDC8G        2146      1            2146
OPTC2         2147      1            2147
OR8AM         2148      1            2148
GDTCG         2149      1            2149
ARAEOR        2150      1            2150
